t,G,F1,F2,F3
970,0.07099,0,null,null
971,0.07001,0,null,null
972,0.07144,0,null,null
973,0.07216,0,null,null
974,0.06972,0,null,null
975,0.07107,0,null,null
976,0.0723,0,null,null
977,0.07263,0,null,null
978,0.07022,0,null,null
979,0.07364,0,null,null
980,0.07224,0,null,null
981,0.07258,0,null,null
982,0.07007,0,null,null
983,0.0703,0,null,null
984,0.07196,0,null,null
985,0.07014,0,null,null
986,0.07014,0,null,null
987,0.07112,0,null,null
988,0.07136,0,null,null
989,0.07222,0,null,null
990,0.07248,0,null,null
991,0.07242,0,null,null
992,0.07287,0,null,null
993,0.07308,0,null,null
994,0.071,0,null,null
995,0.06951,0,null,null
996,0.07065,0,null,null
997,0.07138,0,null,null
998,0.07038,0,null,null
999,0.07027,0,null,null
1000,0.0721,0,null,null
